layer,row,col,value
fc1,0,0,0.0410093
fc1,0,1,0.140245
fc1,0,2,-0.0732685
fc1,0,3,-0.0965048
fc1,0,4,-0.105188
fc1,0,5,0.236883
fc1,0,6,0.146187
fc1,0,7,0.0517005
fc1,0,8,0.181298
fc1,0,9,-0.044517
fc1,0,10,-0.0299592
fc1,1,0,0.0123798
fc1,1,1,-0.0283083
fc1,1,2,0.047236
fc1,1,3,0.0374913
fc1,1,4,0.0648337
fc1,1,5,-0.150455
fc1,1,6,-0.132976
fc1,1,7,0.142966
fc1,1,8,0.0530547
fc1,1,9,-0.08888
fc1,1,10,-0.0183405
fc1,2,0,0.0912213
fc1,2,1,-0.146661
fc1,2,2,0.0370282
fc1,2,3,-0.113954
fc1,2,4,0.00784875
fc1,2,5,0.0141885
fc1,2,6,-0.0433157
fc1,2,7,-0.162526
fc1,2,8,0.151265
fc1,2,9,-0.173601
fc1,2,10,0.215973
fc1,3,0,-0.0598243
fc1,3,1,-0.152377
fc1,3,2,0.017066
fc1,3,3,0.0272115
fc1,3,4,0.221531
fc1,3,5,-0.256549
fc1,3,6,-0.0035355
fc1,3,7,0.164619
fc1,3,8,-0.15331
fc1,3,9,-0.178072
fc1,3,10,0.1859
fc1,4,0,0.011627
fc1,4,1,-0.068806
fc1,4,2,0.0922868
fc1,4,3,0.10562
fc1,4,4,-0.141528
fc1,4,5,-0.0589688
fc1,4,6,-0.153546
fc1,4,7,-0.199623
fc1,4,8,0.199759
fc1,4,9,0.234855
fc1,4,10,0.23794
fc1,5,0,-0.0411582
fc1,5,1,0.204565
fc1,5,2,0.212546
fc1,5,3,-0.0724522
fc1,5,4,0.0166917
fc1,5,5,0.020057
fc1,5,6,-0.00022125
fc1,5,7,-0.126904
fc1,5,8,0.234976
fc1,5,9,-0.137389
fc1,5,10,-0.149513
fc1,6,0,0.0668258
fc1,6,1,-0.115664
fc1,6,2,-0.168234
fc1,6,3,-0.193039
fc1,6,4,-0.061561
fc1,6,5,-0.103271
fc1,6,6,0.0414968
fc1,6,7,-0.152742
fc1,6,8,-0.159407
fc1,6,9,-0.114397
fc1,6,10,0.230846
fc1,7,0,-0.0651203
fc1,7,1,0.0432058
fc1,7,2,0.208248
fc1,7,3,-0.0546408
fc1,7,4,-0.102183
fc1,7,5,0.203189
fc1,7,6,0.111809
fc1,7,7,-0.179074
fc1,7,8,0.18029
fc1,7,9,-0.0680113
fc1,7,10,0.162603
fc1,8,0,-0.0526817
fc1,8,1,0.248212
fc1,8,2,0.0592715
fc1,8,3,0.136261
fc1,8,4,0.0452455
fc1,8,5,0.2568
fc1,8,6,0.113899
fc1,8,7,-0.250041
fc1,8,8,0.0383065
fc1,8,9,-0.080839
fc1,8,10,-0.202078
fc1,9,0,0.179419
fc1,9,1,-0.183768
fc1,9,2,-0.180032
fc1,9,3,-0.201987
fc1,9,4,-0.166358
fc1,9,5,-0.017619
fc1,9,6,0.140022
fc1,9,7,-0.072943
fc1,9,8,-0.0173278
fc1,9,9,0.151238
fc1,9,10,0.201063
fc1,10,0,-0.0415115
fc1,10,1,-0.0953868
fc1,10,2,-0.245489
fc1,10,3,0.105981
fc1,10,4,0.260573
fc1,10,5,-0.187327
fc1,10,6,-0.230003
fc1,10,7,0.0603807
fc1,10,8,-0.0124635
fc1,10,9,-0.0684632
fc1,10,10,-0.0586142
fc1,11,0,0.301829
fc1,11,1,-0.133385
fc1,11,2,0.17972
fc1,11,3,-0.0835768
fc1,11,4,0.00169925
fc1,11,5,0.0146635
fc1,11,6,0.17016
fc1,11,7,0.123514
fc1,11,8,-0.0935015
fc1,11,9,0.131807
fc1,11,10,0.245256
fc1,12,0,-0.0475858
fc1,12,1,-0.105155
fc1,12,2,-0.126542
fc1,12,3,-0.226494
fc1,12,4,-0.197905
fc1,12,5,0.150836
fc1,12,6,0.0776535
fc1,12,7,-0.259382
fc1,12,8,0.236953
fc1,12,9,0.00177325
fc1,12,10,0.226521
fc1,13,0,-0.143943
fc1,13,1,0.0248255
fc1,13,2,-0.227876
fc1,13,3,-0.147498
fc1,13,4,-0.0587775
fc1,13,5,0.20178
fc1,13,6,0.177214
fc1,13,7,-0.0474673
fc1,13,8,-0.042718
fc1,13,9,-0.00389025
fc1,13,10,-0.20015
fc1,14,0,-0.331602
fc1,14,1,0.0356282
fc1,14,2,-0.221473
fc1,14,3,0.105868
fc1,14,4,-0.0466482
fc1,14,5,0.132049
fc1,14,6,-0.171143
fc1,14,7,0.133411
fc1,14,8,0.015406
fc1,14,9,0.293754
fc1,14,10,0.179786
fc1,15,0,-0.0793807
fc1,15,1,-0.179354
fc1,15,2,-0.212009
fc1,15,3,-0.147537
fc1,15,4,-0.135856
fc1,15,5,0.0410628
fc1,15,6,0.181331
fc1,15,7,0.194976
fc1,15,8,-0.0256565
fc1,15,9,0.273172
fc1,15,10,0.0543898
fc1,16,0,0.186728
fc1,16,1,-0.0647517
fc1,16,2,-0.054726
fc1,16,3,0.0678817
fc1,16,4,-0.131757
fc1,16,5,-0.0144665
fc1,16,6,-0.0962358
fc1,16,7,-0.0482853
fc1,16,8,-0.226219
fc1,16,9,0.111195
fc1,16,10,-0.111248
fc1,17,0,-0.157637
fc1,17,1,-0.205629
fc1,17,2,0.124032
fc1,17,3,0.150088
fc1,17,4,0.18947
fc1,17,5,-0.0562462
fc1,17,6,0.16433
fc1,17,7,0.149283
fc1,17,8,0.0107995
fc1,17,9,0.227307
fc1,17,10,0.167178
fc1,18,0,0.099869
fc1,18,1,0.059789
fc1,18,2,-0.141155
fc1,18,3,0.014613
fc1,18,4,-0.0225702
fc1,18,5,0.149059
fc1,18,6,-0.281875
fc1,18,7,0.103056
fc1,18,8,-0.0465845
fc1,18,9,-0.0673277
fc1,18,10,0.243349
fc1,19,0,0.107784
fc1,19,1,-0.236323
fc1,19,2,-0.0255492
fc1,19,3,-0.143966
fc1,19,4,0.099786
fc1,19,5,-0.122765
fc1,19,6,-0.175626
fc1,19,7,-0.046156
fc1,19,8,0.150116
fc1,19,9,0.053119
fc1,19,10,0.16303
fc1,20,0,-0.204227
fc1,20,1,-0.240599
fc1,20,2,0.178453
fc1,20,3,0.202129
fc1,20,4,-0.215093
fc1,20,5,0.151414
fc1,20,6,0.130238
fc1,20,7,0.143205
fc1,20,8,0.196526
fc1,20,9,-0.0167807
fc1,20,10,-0.213432
fc1,21,0,-0.139422
fc1,21,1,0.123532
fc1,21,2,0.0400143
fc1,21,3,-0.0719972
fc1,21,4,0.306305
fc1,21,5,-0.0738002
fc1,21,6,-0.22904
fc1,21,7,-0.172668
fc1,21,8,0.0150393
fc1,21,9,0.186139
fc1,21,10,0.193079
fc1,22,0,0.142416
fc1,22,1,-0.156492
fc1,22,2,-0.035474
fc1,22,3,0.0916868
fc1,22,4,-0.224649
fc1,22,5,0.0264027
fc1,22,6,0.0589248
fc1,22,7,0.0294325
fc1,22,8,0.158662
fc1,22,9,0.154243
fc1,22,10,-0.0421352
fc1,23,0,-0.159037
fc1,23,1,0.206985
fc1,23,2,-0.174185
fc1,23,3,0.104879
fc1,23,4,0.125161
fc1,23,5,-0.341067
fc1,23,6,0.123875
fc1,23,7,-0.0616592
fc1,23,8,0.077368
fc1,23,9,0.0881637
fc1,23,10,0.150812
fc1,24,0,-0.234178
fc1,24,1,0.10153
fc1,24,2,0.003996
fc1,24,3,0.00125275
fc1,24,4,0.230243
fc1,24,5,-0.0607023
fc1,24,6,-0.0236995
fc1,24,7,0.203831
fc1,24,8,-0.0628608
fc1,24,9,-0.171493
fc1,24,10,-0.034705
fc1,25,0,0.13791
fc1,25,1,-0.185422
fc1,25,2,0.0214503
fc1,25,3,-0.100556
fc1,25,4,-0.0800457
fc1,25,5,0.109252
fc1,25,6,0.112375
fc1,25,7,-0.0723877
fc1,25,8,0.136651
fc1,25,9,-0.102143
fc1,25,10,-0.190122
fc1,26,0,-0.345464
fc1,26,1,0.0111943
fc1,26,2,0.0348105
fc1,26,3,-0.030124
fc1,26,4,0.0554465
fc1,26,5,0.137513
fc1,26,6,0.000621
fc1,26,7,-0.0363695
fc1,26,8,0.137083
fc1,26,9,0.0359655
fc1,26,10,0.017597
fc1,27,0,0.0277338
fc1,27,1,-0.0485307
fc1,27,2,0.042281
fc1,27,3,0.100378
fc1,27,4,0.240723
fc1,27,5,-0.167662
fc1,27,6,0.0553763
fc1,27,7,-0.163999
fc1,27,8,0.055601
fc1,27,9,0.0562668
fc1,27,10,0.192009
fc1,28,0,0.074961
fc1,28,1,-0.0743807
fc1,28,2,-0.156022
fc1,28,3,0.118514
fc1,28,4,0.0533582
fc1,28,5,0.0584932
fc1,28,6,-0.0670532
fc1,28,7,-0.203019
fc1,28,8,0.154565
fc1,28,9,0.265647
fc1,28,10,0.029979
fc1,29,0,0.0910958
fc1,29,1,0.060264
fc1,29,2,-0.121277
fc1,29,3,-0.129686
fc1,29,4,0.0118872
fc1,29,5,0.138263
fc1,29,6,-0.219589
fc1,29,7,-0.115112
