layer,row,col,value
fc1,0,0,0.015358
fc1,0,1,-0.159031
fc1,0,2,0.040044
fc1,0,3,0.24943
fc1,0,4,-0.122478
fc1,0,5,0.285134
fc1,0,6,-0.033903
fc1,0,7,0.16072
fc1,0,8,0.302922
fc1,0,9,0.173014
fc1,0,10,-0.203683
fc1,1,0,0.246988
fc1,1,1,-0.160843
fc1,1,2,-0.058082
fc1,1,3,0.193393
fc1,1,4,0.29601
fc1,1,5,-0.00619
fc1,1,6,-0.258101
fc1,1,7,-0.144357
fc1,1,8,-0.131506
fc1,1,9,-0.241259
fc1,1,10,0.244308
fc1,2,0,-0.107897
fc1,2,1,-0.078723
fc1,2,2,0.09201
fc1,2,3,0.249857
fc1,2,4,-0.036879
fc1,2,5,0.170328
fc1,2,6,0.107102
fc1,2,7,0.095812
fc1,2,8,-0.163189
fc1,2,9,-0.237251
fc1,2,10,0.302633
fc1,3,0,0.17536
fc1,3,1,-0.051243
fc1,3,2,0.051314
fc1,3,3,0.227802
fc1,3,4,0.284904
fc1,3,5,-0.237483
fc1,3,6,-0.239895
fc1,3,7,-0.119148
fc1,3,8,0.04764
fc1,3,9,-0.261876
fc1,3,10,0.197422
fc1,4,0,0.103147
fc1,4,1,0.198295
fc1,4,2,-0.290404
fc1,4,3,-0.219649
fc1,4,4,-0.053776
fc1,4,5,-0.072898
fc1,4,6,0.103507
fc1,4,7,0.205202
fc1,4,8,0.036365
fc1,4,9,0.219945
fc1,4,10,0.070388
fc1,5,0,0.231419
fc1,5,1,-0.047287
fc1,5,2,-0.0271
fc1,5,3,0.280219
fc1,5,4,0.139395
fc1,5,5,-0.106329
fc1,5,6,-0.10574
fc1,5,7,-0.004543
fc1,5,8,-0.006689
fc1,5,9,-0.291827
fc1,5,10,-0.097994
fc1,6,0,0.240258
fc1,6,1,-0.203457
fc1,6,2,-0.091213
fc1,6,3,0.002314
fc1,6,4,-0.065617
fc1,6,5,-0.168704
fc1,6,6,-0.248019
fc1,6,7,0.176098
fc1,6,8,-0.219413
fc1,6,9,-0.137372
fc1,6,10,0.152387
fc1,7,0,-0.011567
fc1,7,1,0.18087
fc1,7,2,-0.006241
fc1,7,3,0.284172
fc1,7,4,0.031215
fc1,7,5,-0.171844
fc1,7,6,-0.224873
fc1,7,7,-0.229627
fc1,7,8,-0.303089
fc1,7,9,-0.282853
fc1,7,10,-0.014884
fc1,8,0,-0.251153
fc1,8,1,0.223888
fc1,8,2,-0.002678
fc1,8,3,0.259665
fc1,8,4,-0.228714
fc1,8,5,0.23548
fc1,8,6,-0.137194
fc1,8,7,0.03466
fc1,8,8,0.207045
fc1,8,9,-0.233336
fc1,8,10,0.052766
fc1,9,0,0.207464
fc1,9,1,0.119558
fc1,9,2,0.0654
fc1,9,3,-0.00889
fc1,9,4,-0.276727
fc1,9,5,-0.054627
fc1,9,6,0.002908
fc1,9,7,0.239444
fc1,9,8,-0.270764
fc1,9,9,-0.283665
fc1,9,10,0.171135
fc1,10,0,0.178761
fc1,10,1,0.167149
fc1,10,2,-0.270045
fc1,10,3,-0.041627
fc1,10,4,-0.100027
fc1,10,5,0.030951
fc1,10,6,-0.105587
fc1,10,7,0.270823
fc1,10,8,-0.248701
fc1,10,9,0.119836
fc1,10,10,0.069643
fc1,11,0,0.243079
fc1,11,1,0.028057
fc1,11,2,-0.10114
fc1,11,3,-0.076699
fc1,11,4,-0.264267
fc1,11,5,0.287761
fc1,11,6,-0.051257
fc1,11,7,-0.266234
fc1,11,8,0.241458
fc1,11,9,-0.153684
fc1,11,10,0.112651
fc1,12,0,-0.197492
fc1,12,1,0.286821
fc1,12,2,0.009501
fc1,12,3,-0.164704
fc1,12,4,-0.160469
fc1,12,5,-0.055374
fc1,12,6,-0.02955
fc1,12,7,-0.191007
fc1,12,8,0.098671
fc1,12,9,-0.178121
fc1,12,10,0.102901
fc1,13,0,0.072455
fc1,13,1,-0.092641
fc1,13,2,-0.03042
fc1,13,3,-0.101794
fc1,13,4,0.165357
fc1,13,5,-0.069632
fc1,13,6,0.00351
fc1,13,7,-0.004484
fc1,13,8,0.148679
fc1,13,9,0.128844
fc1,13,10,-0.14637
fc1,14,0,-0.051428
fc1,14,1,-0.131034
fc1,14,2,0.029345
fc1,14,3,0.246166
fc1,14,4,0.029739
fc1,14,5,-0.017299
fc1,14,6,-0.206244
fc1,14,7,0.270641
fc1,14,8,-0.105279
fc1,14,9,0.179524
fc1,14,10,-0.165771
fc1,15,0,-0.010428
fc1,15,1,0.130957
fc1,15,2,-0.295696
fc1,15,3,-0.138467
fc1,15,4,-0.036477
fc1,15,5,-0.149906
fc1,15,6,0.098286
fc1,15,7,0.209339
fc1,15,8,0.209017
fc1,15,9,0.253315
fc1,15,10,0.175934
fc1,16,0,-0.024567
fc1,16,1,-0.145148
fc1,16,2,0.036547
fc1,16,3,0.185406
fc1,16,4,0.069692
fc1,16,5,-0.131926
fc1,16,6,0.089649
fc1,16,7,-0.223991
fc1,16,8,-0.047944
fc1,16,9,-0.179995
fc1,16,10,0.264347
fc1,17,0,-0.136433
fc1,17,1,-0.048837
fc1,17,2,0.061117
fc1,17,3,-0.207095
fc1,17,4,0.073388
fc1,17,5,-0.082561
fc1,17,6,-0.134136
fc1,17,7,-0.114197
fc1,17,8,0.004218
fc1,17,9,0.272505
fc1,17,10,0.176991
fc1,18,0,-0.111879
fc1,18,1,-0.018246
fc1,18,2,0.083655
fc1,18,3,0.24421
fc1,18,4,0.289262
fc1,18,5,0.059338
fc1,18,6,-0.243981
fc1,18,7,0.017797
fc1,18,8,0.026186
fc1,18,9,-0.295728
fc1,18,10,0.160782
fc1,19,0,-0.168872
fc1,19,1,-0.163971
fc1,19,2,0.264544
fc1,19,3,-0.020387
fc1,19,4,0.132525
fc1,19,5,0.016712
fc1,19,6,0.187852
fc1,19,7,-0.08776
fc1,19,8,0.113677
fc1,19,9,0.02332
fc1,19,10,0.072151
fc1,20,0,-0.256306
fc1,20,1,-0.026887
fc1,20,2,-0.002629
fc1,20,3,0.157865
fc1,20,4,-0.129012
fc1,20,5,-0.308522
fc1,20,6,0.215117
fc1,20,7,0.059639
fc1,20,8,0.284881
fc1,20,9,-0.231379
fc1,20,10,-0.191326
fc1,21,0,0.064571
fc1,21,1,-0.067524
fc1,21,2,-0.236115
fc1,21,3,0.058123
fc1,21,4,-0.062549
fc1,21,5,-0.276326
fc1,21,6,-0.288355
fc1,21,7,0.034656
fc1,21,8,0.138048
fc1,21,9,0.200977
fc1,21,10,0.043773
fc1,22,0,0.150147
fc1,22,1,-0.091481
fc1,22,2,-0.253288
fc1,22,3,-0.191252
fc1,22,4,0.056284
fc1,22,5,0.108663
fc1,22,6,0.026375
fc1,22,7,-0.060736
fc1,22,8,-0.194544
fc1,22,9,-0.161121
fc1,22,10,-0.233388
fc1,23,0,-0.269917
fc1,23,1,0.147655
fc1,23,2,0.104182
fc1,23,3,-0.260646
fc1,23,4,-0.090349
fc1,23,5,-0.272403
fc1,23,6,0.089509
fc1,23,7,0.078949
fc1,23,8,-0.236568
fc1,23,9,-0.242465
fc1,23,10,0.088197
fc1,24,0,0.06926
fc1,24,1,0.111079
fc1,24,2,-0.268384
fc1,24,3,-0.034116
fc1,24,4,0.219868
fc1,24,5,0.10471
fc1,24,6,0.251746
fc1,24,7,0.152383
fc1,24,8,0.037441
fc1,24,9,-0.190012
fc1,24,10,0.113071
fc1,25,0,-0.097101
fc1,25,1,0.123102
fc1,25,2,-0.029234
fc1,25,3,0.275346
fc1,25,4,0.281851
fc1,25,5,0.129781
fc1,25,6,-0.015988
fc1,25,7,0.140388
fc1,25,8,0.179447
fc1,25,9,-0.117174
fc1,25,10,-0.238529
fc1,26,0,-0.202078
fc1,26,1,-0.25733
fc1,26,2,0.031463
fc1,26,3,0.115696
fc1,26,4,0.085099
fc1,26,5,0.186523
fc1,26,6,0.294524
fc1,26,7,-0.22713
fc1,26,8,-0.00943
fc1,26,9,0.149981
fc1,26,10,0.055348
fc1,27,0,0.214926
fc1,27,1,-0.157569
fc1,27,2,0.04105
fc1,27,3,0.214988
fc1,27,4,0.034136
fc1,27,5,0.171925
fc1,27,6,0.268337
fc1,27,7,0.223203
fc1,27,8,-0.097004
fc1,27,9,0.079197
fc1,27,10,0.124039
fc1,28,0,-0.122939
fc1,28,1,-0.234599
fc1,28,2,-0.171546
fc1,28,3,-0.062033
fc1,28,4,-0.130374
fc1,28,5,-0.215842
fc1,28,6,-0.166847
fc1,28,7,0.107182
fc1,28,8,-0.194118
fc1,28,9,0.220453
fc1,28,10,-0.282784
fc1,29,0,0.120007
fc1,29,1,-0.135309
fc1,29,2,0.164513
fc1,29,3,-0.283251
fc1,29,4,-0.098695
fc1,29,5,-0.058293
fc1,29,6,-0.22879
fc1,29,7,-0.095427
fc1,29,8,0.279919
fc1,29,9,0.067933
fc1,29,10,-0.153562
fc1,30,0,-0.085496
fc1,30,1,-0.262371
fc1,30,2,-0.187897
fc1,30,3,0.297096
fc1,30,4,0.07755
fc1,30,5,-0.052646
fc1,30,6,0.25272
fc1,30,7,0.073216
fc1,30,8,0.010334
fc1,30,9,0.27293
fc1,30,10,0.289017
fc1,31,0,-0.14916
fc1,31,1,-0.195259
fc1,31,2,0.26528
fc1,31,3,0.15315
fc1,31,4,0.082033
fc1,31,5,-0.27798
fc1,31,6,0.199966
fc1,31,7,0.0365
fc1,31,8,-0.071184
fc1,31,9,0.135354
fc1,31,10,0.157968
fc1,32,0,-0.144613
fc1,32,1,-0.0476
fc1,32,2,0.049047
fc1,32,3,-0.054865
fc1,32,4,0.034613
fc1,32,5,0.195592
fc1,32,6,-0.206034
fc1,32,7,0.20536
fc1,32,8,0.043055
fc1,32,9,-0.144938
fc1,32,10,-0.221853
fc1,33,0,-0.189239
fc1,33,1,0.264115
fc1,33,2,0.007026
fc1,33,3,0.162443
fc1,33,4,0.012506
fc1,33,5,0.175746
fc1,33,6,0.081332
fc1,33,7,0.142253
fc1,33,8,0.053692
fc1,33,9,0.141015
fc1,33,10,0.066387
fc1,34,0,0.072533
fc1,34,1,-0.290464
fc1,34,2,-0.232346
fc1,34,3,-0.091314
fc1,34,4,0.119883
fc1,34,5,0.048355
fc1,34,6,-0.221607
fc1,34,7,0.031676
fc1,34,8,-0.09605
fc1,34,9,0.090173
fc1,34,10,-0.247554
fc1,35,0,0.139231
fc1,35,1,0.137074
fc1,35,2,0.277022
fc1,35,3,0.192321
fc1,35,4,0.073906
fc1,35,5,-0.144833
fc1,35,6,0.031868
fc1,35,7,-0.051265
fc1,35,8,0.02111
fc1,35,9,-0.179704
fc1,35,10,0.264039
fc1,36,0,-0.17048
fc1,36,1,-0.229919
fc1,36,2,0.034522
fc1,36,3,0.243271
fc1,36,4,0.222854
fc1,36,5,0.070018
fc1,36,6,0.064255
fc1,36,7,0.170687
fc1,36,8,-0.259158
fc1,36,9,-0.162137
fc1,36,10,-0.207263
fc1,37,0,-0.032607
fc1,37,1,0.067515
fc1,37,2,-0.088433
fc1,37,3,0.299545
fc1,37,4,-0.008627
fc1,37,5,0.09742
fc1,37,6,-0.113501
fc1,37,7,-0.28772
fc1,37,8,-0.238295
fc1,37,9,-0.216754
fc1,37,10,-0.131061
fc1,38,0,0.13357
fc1,38,1,0.024176
fc1,38,2,-0.085856
fc1,38,3,0.249152
fc1,38,4,-0.04182
fc1,38,5,-0.224088
fc1,38,6,-0.159576
fc1,38,7,0.152731
fc1,38,8,0.060538
fc1,38,9,-0.043125
fc1,38,10,-0.266556
fc1,39,0,-0.048293
fc1,39,1,0.23402
fc1,39,2,-0.245637
fc1,39,3,0.258338
fc1,39,4,0.098415
fc1,39,5,-0.254947
fc1,39,6,0.291226
fc1,39,7,0.081859
fc1,39,8,-0.180781
fc1,39,9,-0.043965
fc1,39,10,-0.168297
fc1,40,0,0.192728
fc1,40,1,-0.183856
fc1,40,2,0.040387
fc1,40,3,0.117088
fc1,40,4,-0.085873
fc1,40,5,0.088918
fc1,40,6,0.26098
fc1,40,7,0.251645
fc1,40,8,0.00846
fc1,40,9,-0.145544
fc1,40,10,0.010057
fc1,41,0,0.30043
fc1,41,1,-0.165745
fc1,41,2,-0.259325
fc1,41,3,0.147677
fc1,41,4,-0.14094
fc1,41,5,0.054774
fc1,41,6,-0.13877
fc1,41,7,0.267508
fc1,41,8,0.135949
fc1,41,9,-0.093496
fc1,41,10,-0.003465
fc1,42,0,0.048307
fc1,42,1,0.162154
fc1,42,2,-0.172503
fc1,42,3,0.256543
fc1,42,4,0.202854
fc1,42,5,0.171771
fc1,42,6,-0.173957
fc1,42,7,0.183953
fc1,42,8,0.043845
fc1,42,9,-0.27208
fc1,42,10,0.302208
fc1,43,0,-0.066669
fc1,43,1,-0.088427
fc1,43,2,0.084894
fc1,43,3,0.233915
fc1,43,4,0.043383
fc1,43,5,0.157294
fc1,43,6,0.14701
fc1,43,7,0.015091
fc1,43,8,0.251793
fc1,43,9,-0.029929
fc1,43,10,0.054909
fc1,44,0,-0.174869
fc1,44,1,0.222958
fc1,44,2,-0.180061
fc1,44,3,0.118607
fc1,44,4,0.123546
fc1,44,5,0.091263
fc1,44,6,0.107987
fc1,44,7,0.060622
fc1,44,8,0.184626
fc1,44,9,-0.292722
fc1,44,10,0.018128
fc1,45,0,-0.162328
fc1,45,1,0.250582
fc1,45,2,0.077608
fc1,45,3,-0.199099
fc1,45,4,0.182049
fc1,45,5,-0.172253
fc1,45,6,0.056104
fc1,45,7,-0.06734
fc1,45,8,0.283929
fc1,45,9,-0.078763
fc1,45,10,-0.091596
fc1,46,0,-0.258285
fc1,46,1,-0.188804
fc1,46,2,0.003283
fc1,46,3,-0.157371
fc1,46,4,-0.178093
fc1,46,5,-0.055951
fc1,46,6,-0.088691
fc1,46,7,0.074839
fc1,46,8,0.055864
fc1,46,9,-0.014494
fc1,46,10,-0.133321
fc1,47,0,0.173287
fc1,47,1,0.11089
fc1,47,2,-0.222407
fc1,47,3,-0.221436
fc1,47,4,-0.287278
fc1,47,5,-0.08149
fc1,47,6,0.115343
fc1,47,7,0.107525
fc1,47,8,0.226076
fc1,47,9,-0.005442
fc1,47,10,0.174095
fc1,48,0,-0.059641
fc1,48,1,-0.103779
fc1,48,2,-0.081687
fc1,48,3,-0.132643
fc1,48,4,0.15255
fc1,48,5,-0.280802
fc1,48,6,0.154557
fc1,48,7,-0.272518
fc1,48,8,-0.14895
fc1,48,9,-0.211137
fc1,48,10,-0.068272
fc1,49,0,0.211554
fc1,49,1,0.008721
fc1,49,2,0.239573
fc1,49,3,0.267624
fc1,49,4,-0.128324
fc1,49,5,0.200191
fc1,49,6,0.000164
fc1,49,7,-0.109703
fc1,49,8,-0.208773
fc1,49,9,-0.282482
fc1,49,10,0.243758
fc1,50,0,-0.09465
fc1,50,1,-0.201177
fc1,50,2,0.197033
fc1,50,3,0.296572
fc1,50,4,-0.237697
fc1,50,5,-0.259448
fc1,50,6,-0.019479
fc1,50,7,0.124065
fc1,50,8,0.251165
fc1,50,9,-0.246821
fc1,50,10,-0.234338
fc1,51,0,0.262124
fc1,51,1,-0.002142
fc1,51,2,-0.260096
fc1,51,3,0.022784
fc1,51,4,0.288046
fc1,51,5,-0.128199
fc1,51,6,-0.283551
fc1,51,7,-0.279237
fc1,51,8,-0.211968
fc1,51,9,0.168136
fc1,51,10,-0.28858
fc1,52,0,-0.120838
fc1,52,1,0.214911
fc1,52,2,0.062606
fc1,52,3,0.305055
fc1,52,4,-0.156363
fc1,52,5,-0.163203
fc1,52,6,0.097429
fc1,52,7,-0.009164
fc1,52,8,-0.220822
fc1,52,9,0.298664
fc1,52,10,0.22317
fc1,53,0,-0.070595
fc1,53,1,0.120196
fc1,53,2,-0.214307
fc1,53,3,-0.183383
fc1,53,4,-0.131809
fc1,53,5,0.293097
fc1,53,6,0.091983
fc1,53,7,-0.27347
fc1,53,8,-0.071376
fc1,53,9,-0.063751
fc1,53,10,-0.071829
fc1,54,0,-0.115821
fc1,54,1,0.126448
fc1,54,2,-0.124359
fc1,54,3,0.0842
fc1,54,4,-0.268747
fc1,54,5,-0.040119
fc1,54,6,0.25672
fc1,54,7,-0.135227
fc1,54,8,-0.272352
fc1,54,9,0.17802
fc1,54,10,0.144866
fc1,55,0,0.240872
fc1,55,1,0.001532
fc1,55,2,0.306069
fc1,55,3,-0.097915
fc1,55,4,-0.208067
fc1,55,5,-0.081558
fc1,55,6,-0.008204
fc1,55,7,-0.027317
fc1,55,8,0.216026
fc1,55,9,0.275123
fc1,55,10,-0.113214
fc1,56,0,-0.084674
fc1,56,1,-0.013682
fc1,56,2,-0.281901
fc1,56,3,-0.137624
fc1,56,4,-0.134441
fc1,56,5,-0.082337
fc1,56,6,-0.162253
fc1,56,7,-0.161432
fc1,56,8,-0.287399
fc1,56,9,-0.008923
fc1,56,10,0.244296
fc1,57,0,0.219262
fc1,57,1,-0.182217
fc1,57,2,-0.231418
fc1,57,3,-0.042677
fc1,57,4,0.142527
fc1,57,5,0.077928
fc1,57,6,0.245955
fc1,57,7,0.274807
fc1,57,8,0.273721
fc1,57,9,-0.231361
fc1,57,10,0.078314
fc1,58,0,-0.109039
fc1,58,1,-0.284333
fc1,58,2,0.101346
fc1,58,3,0.311918
fc1,58,4,0.216556
fc1,58,5,-0.081879
fc1,58,6,0.166207
fc1,58,7,-0.102484
fc1,58,8,-0.118474
fc1,58,9,0.212389
fc1,58,10,0.171684
fc1,59,0,0.283409
fc1,59,1,0.189049
fc1,59,2,0.123307
fc1,59,3,0.226997
fc1,59,4,0.292938
fc1,59,5,-0.227259
fc1,59,6,0.012092
fc1,59,7,0.064508
fc1,59,8,0.030126
fc1,59,9,0.04983
fc1,59,10,0.170072
fc1,60,0,0.091254
fc1,60,1,-0.219427
fc1,60,2,-0.098736
fc1,60,3,0.257304
fc1,60,4,-0.29124
fc1,60,5,0.119826
fc1,60,6,0.29483
fc1,60,7,-0.212478
fc1,60,8,-0.192062
fc1,60,9,0.055143
fc1,60,10,-0.080298
fc1,61,0,0.159999
fc1,61,1,0.25652
fc1,61,2,-0.107594
fc1,61,3,-0.172552
fc1,61,4,0.093572
fc1,61,5,-0.198456
fc1,61,6,-0.063296
fc1,61,7,-0.124863
fc1,61,8,0.186497
fc1,61,9,-0.288363
fc1,61,10,0.015598
fc1,62,0,-0.180739
fc1,62,1,0.244051
fc1,62,2,0.233295
fc1,62,3,0.036468
fc1,62,4,0.034442
fc1,62,5,0.084384
fc1,62,6,0.283357
fc1,62,7,-0.147131
fc1,62,8,-0.158121
fc1,62,9,-0.109106
fc1,62,10,0.160305
fc1,63,0,0.12737
fc1,63,1,0.035532
fc1,63,2,-0.295206
fc1,63,3,-0.149221
fc1,63,4,0.026372
fc1,63,5,0.279096
fc1,63,6,-0.193379
fc1,63,7,-0.156424
fc1,63,8,-0.290159
fc1,63,9,0.076309
fc1,63,10,-0.171379
fc1,64,0,0.159821
fc1,64,1,-0.213375
fc1,64,2,0.241103
fc1,64,3,0.076536
fc1,64,4,-0.279455
fc1,64,5,-0.267026
fc1,64,6,-0.257835
fc1,64,7,0.177328
fc1,64,8,-0.173153
fc1,64,9,0.204553
fc1,64,10,0.205731
fc1,65,0,-0.202024
fc1,65,1,0.210167
fc1,65,2,-0.112021
fc1,65,3,-0.273212
fc1,65,4,-0.085518
fc1,65,5,0.115309
fc1,65,6,0.069353
fc1,65,7,0.079248
fc1,65,8,0.079209
fc1,65,9,-0.170297
fc1,65,10,-0.192675
fc1,66,0,0.143476
fc1,66,1,0.052279
fc1,66,2,-0.157828
fc1,66,3,0.303563
fc1,66,4,-0.242693
fc1,66,5,0.159923
fc1,66,6,0.10236
fc1,66,7,-0.119748
fc1,66,8,0.108395
fc1,66,9,0.297877
fc1,66,10,-0.085743
fc1,67,0,0.14224
fc1,67,1,-0.116639
fc1,67,2,-0.131245
fc1,67,3,-0.046873
fc1,67,4,-0.173317
fc1,67,5,0.223286
fc1,67,6,-0.260111
fc1,67,7,0.013028
fc1,67,8,-0.174208
fc1,67,9,-0.280905
fc1,67,10,0.024852
fc1,68,0,0.076684
fc1,68,1,0.1765
fc1,68,2,0.088656
fc1,68,3,-0.093831
fc1,68,4,0.119304
fc1,68,5,-0.041669
fc1,68,6,-0.177339
fc1,68,7,-0.084651
fc1,68,8,0.308046
fc1,68,9,-0.165877
fc1,68,10,0.033988
fc1,69,0,-0.185212
fc1,69,1,-0.141551
fc1,69,2,-0.113463
fc1,69,3,0.000677
fc1,69,4,-0.300561
fc1,69,5,0.086492
fc1,69,6,0.114206
fc1,69,7,0.061641
fc1,69,8,-0.14641
fc1,69,9,-0.040287
fc1,69,10,-0.046874
fc1,70,0,0.057878
fc1,70,1,-0.111471
fc1,70,2,0.160202
fc1,70,3,-0.002241
fc1,70,4,0.251487
fc1,70,5,-0.298536
fc1,70,6,0.262373
fc1,70,7,0.135455
fc1,70,8,-0.261766
fc1,70,9,-0.284511
fc1,70,10,0.117429
fc1,71,0,0.233876
fc1,71,1,0.05954
fc1,71,2,-0.104801
fc1,71,3,0.188545
fc1,71,4,-0.134098
fc1,71,5,0.051031
fc1,71,6,-0.090197
fc1,71,7,0.184455
fc1,71,8,0.024257
fc1,71,9,-0.006951
fc1,71,10,-0.076814
fc1,72,0,-0.131987
fc1,72,1,-0.2054
fc1,72,2,0.070832
fc1,72,3,-0.007197
fc1,72,4,0.131861
fc1,72,5,-0.108622
fc1,72,6,-0.09995
fc1,72,7,0.146418
fc1,72,8,-0.141686
fc1,72,9,-0.120765
fc1,72,10,-0.131399
fc1,73,0,0.275677
fc1,73,1,-0.131233
fc1,73,2,0.13117
fc1,73,3,-0.29242
