layer,row,col,value
fc1,0,0,0.049893
fc1,0,1,0.240337
fc1,0,2,-0.110706
fc1,0,3,-0.211483
fc1,0,4,-0.099091
fc1,0,5,0.221133
fc1,0,6,0.20655
fc1,0,7,0.015694
fc1,0,8,0.14109
fc1,0,9,-0.116694
fc1,0,10,0.028282
fc1,1,0,-0.065823
fc1,1,1,0.01587
fc1,1,2,0.082342
fc1,1,3,-0.014476
fc1,1,4,-0.012225
fc1,1,5,-0.198544
fc1,1,6,-0.091267
fc1,1,7,0.23874
fc1,1,8,0.114575
fc1,1,9,-0.038087
fc1,1,10,-0.10589
fc1,2,0,0.157594
fc1,2,1,-0.169307
fc1,2,2,0.018701
fc1,2,3,-0.235224
fc1,2,4,0.022758
fc1,2,5,-0.037858
fc1,2,6,-0.093455
fc1,2,7,-0.248639
fc1,2,8,0.256083
fc1,2,9,-0.152385
fc1,2,10,0.187087
fc1,3,0,-0.138219
fc1,3,1,-0.186088
fc1,3,2,0.00565
fc1,3,3,-0.039652
fc1,3,4,0.200406
fc1,3,5,-0.262905
fc1,3,6,0.075251
fc1,3,7,0.259208
fc1,3,8,-0.220293
fc1,3,9,-0.150137
fc1,3,10,0.182059
fc1,4,0,-0.019213
fc1,4,1,-0.158173
fc1,4,2,0.219517
fc1,4,3,0.213709
fc1,4,4,-0.171112
fc1,4,5,-0.054659
fc1,4,6,-0.239564
fc1,4,7,-0.334898
fc1,4,8,0.253891
fc1,4,9,0.239491
fc1,4,10,0.293458
fc1,5,0,-0.131684
fc1,5,1,0.288849
fc1,5,2,0.292761
fc1,5,3,-0.189676
fc1,5,4,-0.023876
fc1,5,5,0.062519
fc1,5,6,0.035285
fc1,5,7,-0.167358
fc1,5,8,0.315864
fc1,5,9,-0.085576
fc1,5,10,-0.166352
fc1,6,0,0.009015
fc1,6,1,-0.086399
fc1,6,2,-0.193908
fc1,6,3,-0.258157
fc1,6,4,-0.060209
fc1,6,5,-0.08146
fc1,6,6,0.138002
fc1,6,7,-0.262355
fc1,6,8,-0.139405
fc1,6,9,-0.106739
fc1,6,10,0.256999
fc1,7,0,-0.082638
fc1,7,1,-0.002349
fc1,7,2,0.280077
fc1,7,3,-0.167245
fc1,7,4,-0.146315
fc1,7,5,0.328534
fc1,7,6,0.22437
fc1,7,7,-0.16189
fc1,7,8,0.34175
fc1,7,9,0.003936
fc1,7,10,0.222099
fc1,8,0,0.013142
fc1,8,1,0.255986
fc1,8,2,0.079588
fc1,8,3,0.094793
fc1,8,4,0.136232
fc1,8,5,0.263573
fc1,8,6,0.197264
fc1,8,7,-0.345274
fc1,8,8,-0.018273
fc1,8,9,-0.03034
fc1,8,10,-0.287359
fc1,9,0,0.170071
fc1,9,1,-0.284876
fc1,9,2,-0.261843
fc1,9,3,-0.266353
fc1,9,4,-0.129569
fc1,9,5,-0.005283
fc1,9,6,0.185727
fc1,9,7,-0.177072
fc1,9,8,0.067151
fc1,9,9,0.296206
fc1,9,10,0.211039
fc1,10,0,-0.115269
fc1,10,1,-0.183232
fc1,10,2,-0.237637
fc1,10,3,0.15485
fc1,10,4,0.38044
fc1,10,5,-0.260419
fc1,10,6,-0.271809
fc1,10,7,-0.0101
fc1,10,8,0.065949
fc1,10,9,-0.131563
fc1,10,10,-0.1017
fc1,11,0,0.321743
fc1,11,1,-0.186865
fc1,11,2,0.273673
fc1,11,3,-0.085536
